address,display_name,builder_score
0xA7b56B5dfCe40A22d0AC8C872fbC0AE64D2E05ac,Marin 🎀,17
0xb162325bF2727dE8C907ca285773D05F5f2a5823,,
0x4f0bf9f13F2F1A1E54aCA304c06C1D2267Fe8a88,oleh,163
0x00655ABFA67C746F1b4F6DDD86Cf762b0D36DE07,Varun Doshi,25
0x8B18687Ed4e32A5E1a3DeE91C08f706C196bb9C5,,
0x0047A556834e8a914134992E42864196586BE848,,
0x68999773aEC72d2A73c2BC9F68AB9bc81b3D8e69,,
0xC0bA7DbB6a4e28b810CDb06A3b3a77a23F618497,Esk3nder.eth,12
0x3f22F740d41518f5017b76Eed3a63eb14D2E1B07,Kevin,71
0x2ac0d09D97bc824FE32A467Ccb96f7c1e447CcF6,,
0x37BAedAA536f7144E72915C683e6095177D33e78,,
0x1f1cdF1a632eAAaB40D1c263eDF49FaF749010A1,,
0x31F73521004272D4bB7D56690794692e429311cB,,
0x7084653018495767102F38A59F09d114a0a6885E,0xmht.eth,218
0xa3d008b205d97892fBf937D1fA2Fc5568dB2A254,Faith Roberts,177
0x2e0ABa71dfeCD810741c2a1729F20464f5136b97,,
0x92254626960E7A1b6EB2386215489867dF30eB5f,,
0x4a071fD98dD1f0B3C14999eCC07926166Dc544B4,Sam Padilla 🎩,31
0x788bAFda4D147f6e9686ad763414F7651d97Eb28,,
0x7C60A5bfa9d568572beB80C6DD5E142e943A755F,,
0x744f78Ad9f5bFF67bf555E6b94acA109Bb77F6D5,,
0x9240B613460c96793701405450Ac72c5E9C92c8c,,
0x05A4Ed2367BD2F0Aa63cC14897850be7474bc722,Diogo,225
0x0681942EA30181A5C8Cf858E29700bF2783cB54D,,
0xCDBDE4F92af8Be2117AFAE94F4eF3F5d3B3b39d8,Sainy,43
0x73611CA42EF1d2F03aEdc9d8B2Bb7EC4ba77dcC9,Neel,226
0x49cc56a76330FFFc3574f89C1cA815680a62d8D1,,
0xBB129accd327B5668fb86c1979C88041566D5a36,,
0xd2F7308453452E35B7498BD753901e3AaAbC73d6,kor🎩,26
0x4cd16a1B3c706EbbF18da146D3e2d030def850af,,
